1  18200 "."
2  15420 "the"
3  14510 ","
4  10857 "of"
5  10019 "and"
6  8338 "in"
7  7168 "a"
8  6749 "to"
9  4033 "was"
10  3772 "The"
11  3361 "("
12  3140 "is"
13  3085 "for"
14  2774 "by"
15  2687 ")"
16  2633 "with"
17  2471 "on"
18  2349 "as"
19  2252 "that"
20  2185 "from"
21  1969 "at"
22  1909 "his"
23  1665 "he"
24  1662 "are"
25  1609 "an"
26  1417 ":"
27  1360 "were"
28  1173 "or"
29  1153 "which"
30  1146 "In"
31  1124 "be"
32  1020 "it"
33  956 "has"
34  944 "had"
35  914 "their"
36  833 "its"
37  816 "this"
38  809 "have"
39  762 "who"
40  728 ";"
41  724 "also"
42  693 "but"
43  688 "not"
44  674 "first"
45  672 "He"
46  659 "other"
47  656 "A"
48  653 "into"
49  630 "been"
50  610 "they"
51  568 "two"
52  553 "after"
53  546 "one"
54  521 "years"
55  508 "-"
56  494 "more"
57  491 "during"
58  491 "when"
59  489 "all"
60  462 "used"
61  456 "her"
62  453 "would"
63  446 "such"
64  446 "This"
65  443 "between"
66  441 "new"
67  439 "'"
68  426 "became"
69  424 "most"
70  417 "only"
71  415 "than"
72  414 "over"
73  413 "some"
74  402 "can"
75  396 "about"
76  394 "him"
77  385 "many"
78  383 "time"
79  371 "until"
80  366 "being"
81  357 "New"
82  355 "through"
83  355 "later"
84  353 "under"
85  349 "made"
86  342 "these"
87  334 "where"
88  327 "out"
89  323 "University"
90  323 "three"
91  322 "up"
92  318 "them"
93  306 "including"
94  305 "there"
95  305 "then"
96  305 "called"
97  304 "people"
98  298 "It"
99  297 "before"
100  293 "On"
101  291 "no"
102  281 "George"
103  281 "government"
104  278 "area"
105  277 "will"
106  276 "American"
107  275 "against"
108  272 "several"
109  269 "year"
110  268 "both"
111  266 "I"
112  265 "National"
113  263 "may"
114  259 "part"
115  255 "use"
116  254 "she"
117  253 "British"
118  253 "known"
119  249 "After"
120  249 "early"
121  247 "work"
122  244 "His"
123  243 "name"
